Coords	err_forward	err_backward	err_FEM	err_frac
0	0	0	0	0
500	0.0018308982	0.0016945212	0.00012547672	1.4219093e-05
1000	0.0036584441	0.0033919139	1.0319112e-05	5.951823e-05
1500	0.0054826441	0.0050921828	0.00013666216	0.00010593889
2000	0.0073035041	0.0067953329	2.2408199e-05	5.4677535e-05
2500	0.0091210303	0.008501369	0.00014976326	0.00010097225
3000	0.010935229	0.010210296	3.6570614e-05	0.00063391425
3500	0.012746106	0.011922119	0.00016510833	0.00016879034
4000	0.014553667	0.013636842	5.31617e-05	0.00060742596
4500	0.016357919	0.015354471	0.00018308198	0.0015396009
5000	0.018158867	0.017075011	7.2597705e-05	0.00086956448
5500	0.019956519	0.018798466	0.00020413469	0.00039975093
6000	0.021750878	0.020524842	9.5366214e-05	0.00079325296
6500	0.023541953	0.022254143	0.0002287942	0.00070000504
7000	0.025329748	0.023986374	0.00012203838	0.00053697928
7500	0.02711427	0.025721541	0.00025767867	0.00062707826
8000	0.028895525	0.027459648	0.00015328324	0.00065519888
8500	0.030673518	0.0292007	0.00029151219	0.0007425116
9000	0.032448256	0.030944703	0.00018988451	2.0289003e-05
9500	0.034219745	0.03269166	0.00033114299	0.00047677408
10000	0.03598799	0.034441578	0.00023276021	0.00073439087
