Coords	Analytical	Forward	Backward	FEM	Frac
0	1.013	1.013	1.013	1.013	1.013
500	0.95465164	0.95290377	0.95626932	0.95453186	0.95466522
1000	0.89966413	0.89637276	0.90271571	0.89967341	0.89971768
1500	0.84784387	0.84319544	0.85216125	0.847728	0.84775405
2000	0.79900844	0.79317287	0.80443796	0.79902634	0.79905212
2500	0.7529859	0.74611789	0.75938731	0.75287313	0.75306193
3000	0.70961424	0.70185445	0.71685962	0.7096402	0.70916441
3500	0.66874078	0.66021693	0.67671358	0.66863036	0.66885365
4000	0.6302216	0.62104957	0.63881583	0.6302551	0.63060441
4500	0.59392111	0.5842058	0.60304046	0.59381238	0.59300671
5000	0.55971152	0.54954779	0.5692686	0.55975215	0.56019822
5500	0.52747238	0.51694587	0.53738805	0.5273647	0.52726152
6000	0.4970902	0.48627805	0.5072929	0.49713761	0.49669588
6500	0.46845803	0.45742961	0.47888316	0.46835085	0.46878595
7000	0.44147505	0.4302926	0.45206443	0.44152893	0.44123799
7500	0.41604628	0.40476549	0.42674763	0.41593907	0.41578539
8000	0.3920822	0.38075278	0.40284864	0.3921423	0.39182531
8500	0.36949843	0.35816462	0.38028805	0.36939072	0.36922408
9000	0.34821549	0.3369165	0.35899091	0.34828161	0.34820842
9500	0.32815843	0.31692893	0.33888647	0.32804976	0.32800197
10000	0.30925665	0.29812712	0.31990793	0.30932863	0.30902953
